registro_id,tipo,titulo,autores,ano,instituicao,curso,veiculo,resumo,palavras_chaves,natureza,financiadores,texto_completo,resumo_processado,nome_topico,orientador
1,TCC,Dinâmica da Perícia Ambiental de Rio Verde - GO,Talissa Tamara Gomes,2015,IFGOIANO,Engenharia Ambiental,,,,,,Dinâmica da Perícia Ambiental de Rio Verde - GO Engenharia Ambiental,dinamica pericia ambiental verde engenharia ambiental,"Tópico 19: Gestao, Ambiental, Turismo",Haihani Silva Passos
2,TCC,A DINÂMICA DA ESTRADA DA PRODUÇÃO NO SUDOESTE GOIANO E SUA IMPORTÂNCIA PARA  O AGRONEGÓCIO,Heitor Fonseca Queiroz Pires,2021,IFGOIANO,Agronomia,,,,,,A DINÂMICA DA ESTRADA DA PRODUÇÃO NO SUDOESTE GOIANO E SUA IMPORTÂNCIA PARA O AGRONEGÓCIO Agronomia,dinamica estrada producao sudoeste goiano importancia agronegocio agronomia,"Tópico 19: Gestao, Ambiental, Turismo",Haihani Silva Passos
3,TCC,"&quot;AVALIAÇÃO DA ANATOMIA FOLIAR DE GENÓTIPOS DE TOMATEIRO E SUA INFLUÊNCIA SOBRE ASPECTOS BIOLÓGICOS DE Spodoptera eridani (Cremer, 1782) (Lepidoptera:Noctuidae)&quot;",Fabrícia Sousa Silva,2019,IFGOIANO,Agronomia,,,,,,"&quot;AVALIAÇÃO DA ANATOMIA FOLIAR DE GENÓTIPOS DE TOMATEIRO E SUA INFLUÊNCIA SOBRE ASPECTOS BIOLÓGICOS DE Spodoptera eridani (Cremer, 1782) (Lepidoptera:Noctuidae)&quot; Agronomia",quot anatomia foliar genotipos tomateiro influencia biologicos spodoptera eridani cremer lepidoptera noctuidae quot agronomia,"Tópico 15: Plantas, Biologicas, Cultura",Daline Benites Bottega
4,TCC,"EFEITO DE ÓLEO ESSENCIAL DOS FRUTOS DE XYLOPIA AROMATICA (ANNONACEAE) SOBRE ZABROTES SUBFASCIATUS (BOHEMANN) (COLEOPTERA: CHRYSOMELIDAE, BRUCHINAE)",Thais Freitas Santos,2019,IFGOIANO,Agronomia,,,,,,"EFEITO DE ÓLEO ESSENCIAL DOS FRUTOS DE XYLOPIA AROMATICA (ANNONACEAE) SOBRE ZABROTES SUBFASCIATUS (BOHEMANN) (COLEOPTERA: CHRYSOMELIDAE, BRUCHINAE) Agronomia",efeito oleo essencial frutos xylopia aromatica annonaceae zabrotes subfasciatus bohemann coleoptera chrysomelidae bruchinae agronomia,"Tópico 15: Plantas, Biologicas, Cultura",Daline Benites Bottega
5,TCC,Impacto e Manejo da Cigarrinha do Milho (Dalbulus Maidis) na Agricultura Brasileira,Luiz Fernando De Sousa Amorim,2023,IFGOIANO,Agronomia,,,,,,Impacto e Manejo da Cigarrinha do Milho (Dalbulus Maidis) na Agricultura Brasileira Agronomia,impacto manejo cigarrinha milho dalbulus maidis agricultura agronomia,"Tópico 15: Plantas, Biologicas, Cultura",Daline Benites Bottega
6,TCC,AVALIAÇÃO DA INCIDÊNCIA DE CERCOSPORIOSE EM BETERRABA UTILIZANDO DIFERENTES MANEJOS,Dyeniffer Soares Costa,2024,IFGOIANO,Agronomia,,,,,,AVALIAÇÃO DA INCIDÊNCIA DE CERCOSPORIOSE EM BETERRABA UTILIZANDO DIFERENTES MANEJOS Agronomia,incidencia cercosporiose beterraba manejos agronomia,"Tópico 15: Plantas, Biologicas, Cultura",Daline Benites Bottega
7,TCC,Gestão estratégica em organizações não governamentais: a adoção de ferramentas estratégicas pela Agrotec,Antônio Carlos Da Costa,2015,IFGOIANO,Superior De Tecnologia Em Agronegócio,,,,,,Gestão estratégica em organizações não governamentais: a adoção de ferramentas estratégicas pela Agrotec Superior De Tecnologia Em Agronegócio,gestao estrategica organizacoes governamentais adocao ferramentas estrategicas agrotec tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
8,TCC,Gestão Estratégica em propriedade rural familiar: o caso da Fazenda Jacuba,Ricardo Borges Rodrigues De Freitas,2016,IFGOIANO,Superior De Tecnologia Em Agronegócio,,,,,,Gestão Estratégica em propriedade rural familiar: o caso da Fazenda Jacuba Superior De Tecnologia Em Agronegócio,gestao estrategica propriedade rural familiar fazenda jacuba tecnologia agronegocio,"Tópico 16: Desenvolvimento, Tecnologia, Inovacao",Maria Gláucia Dourado Furquim
9,TCC,Caracterização da Gestão de Pessoas na Propriedade Alexina Maria II no município de Ivolândia-GO,Carolina Bernardes Santos,2016,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Caracterização da Gestão de Pessoas na Propriedade Alexina Maria II no município de Ivolândia-GO Tecnologia Em Agronegócio,caracterizacao gestao pessoas propriedade alexina maria ivolandia tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
10,TCC,Os desafios do processo sucessório: o caso de uma fazenda X no município de Diorama-GO,Neto Barbosa Da Silva,2016,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Os desafios do processo sucessório: o caso de uma fazenda X no município de Diorama-GO Tecnologia Em Agronegócio,desafios sucessorio fazenda diorama tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
